Order ID,Customer Name,Category,Sub Category,City,Sales,Profit
OD236,Vince,Fruits & Veggies,Organic Fruits,Nagercoil,1983,773.37
OD237,Shah,Bakery,Cakes,Bodi,650,247
OD238,Ravi,Bakery,Breads & Buns,Ramanadhapuram,2163,216.3
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Bodi,1481,518.35
OD240,Arvind,Snacks,Cookies,Trichy,2492,124.6
OD241,Ramesh,Bakery,Cakes,Nagercoil,962,423.28
OD242,Malik,Beverages,Health Drinks,Coimbatore,1432,214.8
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,Virudhunagar,523,78.45
OD244,Amy,Oil & Masala,Masalas,Chennai,1540,646.8
OD245,Roshan,Bakery,Biscuits,Coimbatore,817,326.8
OD246,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2462,369.3
OD247,Sudeep,Fruits & Veggies,Organic Fruits,Perambalur,962,288.6
OD248,Ridhesh,Beverages,Health Drinks,Cumbum,538,59.18
OD249,Ravi,Snacks,Cookies,Ooty,1556,482.36
OD250,James,Beverages,Health Drinks,Vellore,2133,959.85
OD251,Mathew,Beverages,Health Drinks,Tirunelveli,1474,235.84
OD252,Amrish,Beverages,Health Drinks,Dindigul,531,127.44
OD253,Ramesh,Food Grains,Rice,Pudukottai,1769,636.84
OD254,Surya,Fruits & Veggies,Organic Vegetables,Pudukottai,1257,62.85
OD255,Veronica,Food Grains,Rice,Ramanadhapuram,1899,170.91
OD256,Harish,Fruits & Veggies,Fresh Fruits,Tirunelveli,1929,617.28
OD257,Ravi,Beverages,Soft Drinks,Ooty,2417,990.97
OD258,Sundar,"Eggs, Meat & Fish",Mutton,Chennai,1443,476.19
OD259,Esther,Beverages,Soft Drinks,Dharmapuri,660,290.4
OD260,Shree,Bakery,Breads & Buns,Salem,2114,359.38
OD261,Sabeela,Oil & Masala,Masalas,Tenkasi,1278,63.9
OD262,Ravi,Food Grains,Organic Staples,Krishnagiri,867,216.75
OD263,Roshan,Food Grains,Organic Staples,Kanyakumari,943,150.88
OD264,Vince,Beverages,Soft Drinks,Theni,1836,275.4
OD265,Jonas,"Eggs, Meat & Fish",Fish,Cumbum,1200,420
OD266,Harish,Fruits & Veggies,Organic Vegetables,Tirunelveli,1167,256.74
OD267,Shah,"Eggs, Meat & Fish",Chicken,Perambalur,696,139.2
OD268,Arvind,Oil & Masala,Masalas,Virudhunagar,2500,425
OD269,Adavan,Bakery,Cakes,Dharmapuri,1507,180.84
OD270,Suresh,Beverages,Soft Drinks,Namakkal,1612,612.56
OD271,Esther,Snacks,Noodles,Theni,764,160.44
OD272,Krithika,Snacks,Noodles,Tenkasi,884,282.88
OD273,Muneer,Fruits & Veggies,Organic Fruits,Viluppuram,2443,781.76
OD274,Hafiz,Bakery,Cakes,Vellore,1147,137.64
OD275,Krithika,Fruits & Veggies,Organic Vegetables,Coimbatore,1899,493.74
OD276,Amrish,Bakery,Cakes,Pudukottai,744,66.96
OD277,Shah,"Eggs, Meat & Fish",Fish,Ramanadhapuram,812,284.2
OD278,Ram,Oil & Masala,Masalas,Virudhunagar,862,137.92
OD279,Arutra,Snacks,Chocolates,Virudhunagar,1061,286.47
OD280,Sabeela,Fruits & Veggies,Fresh Vegetables,Pudukottai,2365,520.3
OD281,Vidya,Snacks,Chocolates,Karur,1421,454.72
OD282,Roshan,Fruits & Veggies,Organic Vegetables,Perambalur,1357,203.55
OD283,Sheeba,Beverages,Soft Drinks,Chennai,1007,433.01
OD284,Amrish,Bakery,Biscuits,Kanyakumari,1544,138.96
OD285,Kumar,Fruits & Veggies,Organic Vegetables,Salem,1537,599.43
OD286,Ridhesh,Bakery,Breads & Buns,Ooty,1530,168.3
OD287,Hafiz,Oil & Masala,Spices,Tirunelveli,2460,738
OD288,Sudha,Snacks,Noodles,Cumbum,976,429.44
OD289,Suresh,Fruits & Veggies,Organic Fruits,Coimbatore,1106,298.62
OD290,Jonas,Bakery,Biscuits,Tirunelveli,1165,244.65
OD291,Jonas,Food Grains,Rice,Chennai,1244,497.6
OD292,Amrish,Fruits & Veggies,Organic Fruits,Madurai,1992,418.32
OD293,Sheeba,"Eggs, Meat & Fish",Eggs,Ooty,1396,237.32
OD294,Ram,Snacks,Chocolates,Ramanadhapuram,849,263.19
OD295,Sheeba,Oil & Masala,Masalas,Dharmapuri,2488,547.36
OD296,Muneer,Food Grains,Rice,Dharmapuri,840,184.8
OD297,Aditi,Oil & Masala,Edible Oil & Ghee,Krishnagiri,1820,527.8
OD298,Roshan,Oil & Masala,Masalas,Bodi,1969,630.08
OD299,Sundar,Food Grains,Organic Staples,Virudhunagar,2261,994.84
OD300,Sudha,"Eggs, Meat & Fish",Mutton,Namakkal,1793,304.81
OD301,Haseena,Bakery,Breads & Buns,Ooty,644,96.6
OD302,Willams,Oil & Masala,Edible Oil & Ghee,Viluppuram,1359,421.29
OD303,Veronica,Bakery,Breads & Buns,Dharmapuri,1554,683.76
OD304,Muneer,Snacks,Cookies,Tenkasi,2090,292.6
OD305,Anu,Oil & Masala,Edible Oil & Ghee,Kanyakumari,931,297.92
OD306,Veronica,Bakery,Breads & Buns,Salem,1157,404.95
OD307,Verma,Fruits & Veggies,Fresh Fruits,Ooty,2396,383.36
OD308,Sundar,Oil & Masala,Spices,Pudukottai,1677,586.95
OD309,Esther,Snacks,Cookies,Tenkasi,590,200.6
OD310,Vinne,Snacks,Noodles,Namakkal,1401,196.14
OD311,Peer,Oil & Masala,Edible Oil & Ghee,Viluppuram,678,189.84
OD312,Harish,Snacks,Chocolates,Vellore,2417,797.61
OD313,Willams,Beverages,Soft Drinks,Theni,2211,641.19
OD314,Vidya,Fruits & Veggies,Fresh Fruits,Perambalur,2392,406.64
OD315,Arutra,"Eggs, Meat & Fish",Mutton,Krishnagiri,1835,660.6
OD316,Malik,Snacks,Noodles,Chennai,2281,775.54
OD317,Peer,Fruits & Veggies,Fresh Vegetables,Cumbum,1583,174.13
OD318,Arvind,Bakery,Cakes,Vellore,1123,89.84
OD319,Sudeep,Snacks,Cookies,Viluppuram,1079,410.02
OD320,Arvind,Food Grains,Organic Staples,Krishnagiri,1027,328.64
OD321,Alan,Fruits & Veggies,Fresh Vegetables,Dharmapuri,1771,602.14
OD322,Sheeba,Oil & Masala,Spices,Karur,1171,363.01
OD323,Arvind,Bakery,Cakes,Pudukottai,672,141.12
OD324,Anu,Beverages,Health Drinks,Dindigul,848,228.96
OD325,Amrish,Fruits & Veggies,Fresh Vegetables,Pudukottai,2078,914.32
OD326,Ravi,Food Grains,Rice,Krishnagiri,1400,406
OD327,Verma,Fruits & Veggies,Fresh Vegetables,Cumbum,945,226.8
OD328,Arutra,Beverages,Health Drinks,Vellore,590,82.6
OD329,Malik,Beverages,Health Drinks,Dharmapuri,1583,316.6
OD330,Vidya,Beverages,Health Drinks,Pudukottai,1534,245.44
OD331,Krithika,Snacks,Noodles,Karur,2133,490.59
OD332,Shree,Fruits & Veggies,Organic Fruits,Trichy,2021,747.77
OD333,Shree,Beverages,Health Drinks,Salem,1825,164.25
OD334,Akash,Bakery,Breads & Buns,Nagercoil,2029,608.7
OD335,Verma,Oil & Masala,Spices,Perambalur,1228,442.08
OD336,Yadav,Food Grains,Rice,Perambalur,1501,210.14
OD337,Alan,Fruits & Veggies,Organic Vegetables,Nagercoil,1094,415.72
OD338,Hussain,Bakery,Cakes,Dharmapuri,1179,106.11
OD339,Suresh,Food Grains,Atta & Flour,Viluppuram,1127,416.99
OD340,Willams,Bakery,Biscuits,Namakkal,601,234.39
OD341,Hussain,Oil & Masala,Edible Oil & Ghee,Chennai,1697,560.01
OD342,Sundar,Beverages,Soft Drinks,Ooty,2095,502.8
OD343,Harish,"Eggs, Meat & Fish",Chicken,Salem,1132,215.08
OD344,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,1561,640.01
OD345,Vinne,"Eggs, Meat & Fish",Chicken,Coimbatore,1238,297.12
OD346,Willams,Bakery,Breads & Buns,Tenkasi,2068,165.44
OD347,Suresh,Fruits & Veggies,Organic Vegetables,Pudukottai,1113,356.16
OD348,Roshan,Food Grains,Rice,Theni,1966,629.12
OD349,Haseena,"Eggs, Meat & Fish",Chicken,Madurai,2138,684.16
OD350,Sabeela,Food Grains,Atta & Flour,Bodi,978,68.46
OD351,Willams,Fruits & Veggies,Fresh Vegetables,Karur,2014,684.76
OD352,Shah,Bakery,Breads & Buns,Viluppuram,645,187.05
OD353,Krithika,Food Grains,Rice,Karur,2194,680.14
OD354,Vidya,Beverages,Health Drinks,Ooty,1244,62.2
OD355,Surya,Bakery,Biscuits,Kanyakumari,743,289.77
OD356,Yadav,Fruits & Veggies,Fresh Vegetables,Ramanadhapuram,2474,593.76
OD357,Malik,Snacks,Cookies,Trichy,1494,74.7
OD358,Vidya,Oil & Masala,Spices,Coimbatore,1174,328.72
OD359,Sabeela,Fruits & Veggies,Organic Vegetables,Virudhunagar,1062,435.42
OD360,Ridhesh,Fruits & Veggies,Organic Vegetables,Pudukottai,2297,528.31
OD361,Amrish,Snacks,Noodles,Namakkal,562,56.2
OD362,Veena,"Eggs, Meat & Fish",Eggs,Perambalur,2049,655.68
OD363,Veronica,"Eggs, Meat & Fish",Eggs,Kanyakumari,570,125.4
OD364,Krithika,"Eggs, Meat & Fish",Mutton,Karur,1236,333.72
OD365,Haseena,Beverages,Health Drinks,Bodi,1069,459.67
OD366,Roshan,Bakery,Cakes,Namakkal,1946,622.72
OD367,Yusuf,Snacks,Noodles,Dindigul,595,196.35
OD368,Amrish,"Eggs, Meat & Fish",Mutton,Ramanadhapuram,2439,658.53
OD369,Vince,Bakery,Biscuits,Karur,2415,555.45
OD370,Mathew,Oil & Masala,Spices,Tirunelveli,1725,362.25
OD371,Malik,Fruits & Veggies,Fresh Vegetables,Tenkasi,688,116.96
OD372,Sudeep,Food Grains,Rice,Karur,1698,339.6
OD373,Arvind,Bakery,Breads & Buns,Pudukottai,1665,216.45
OD374,Shah,Beverages,Health Drinks,Ooty,1309,78.54
OD375,Sharon,Oil & Masala,Spices,Vellore,905,72.4
OD376,Hussain,"Eggs, Meat & Fish",Mutton,Theni,2271,295.23
OD377,Ganesh,Snacks,Chocolates,Pudukottai,2091,522.75
OD378,Ganesh,Food Grains,Atta & Flour,Salem,1917,172.53
OD379,Sudeep,Food Grains,Rice,Cumbum,641,179.48
OD380,Hussain,Oil & Masala,Spices,Salem,1192,417.2
OD381,Krithika,Food Grains,Rice,Ooty,1132,464.12
OD382,Ram,Oil & Masala,Masalas,Namakkal,1727,224.51
OD383,Mathew,"Eggs, Meat & Fish",Mutton,Pudukottai,1051,378.36
OD384,Jackson,Beverages,Health Drinks,Trichy,2109,337.44
